DD4hep           WARN  ++ STD conditions NOT defined by client. NTP defaults taken.
Detector         WARN  +++ Object 'compact_checksum' is already defined. New value will be ignored
12:25:55    Sequencer      INFO      8000 / 10000 events processed
12:25:55    Sequencer      INFO      8100 / 10000 events processed
12:25:55    Sequencer      INFO      8200 / 10000 events processed
12:25:55    Sequencer      INFO      8300 / 10000 events processed
12:25:55    Sequencer      INFO      8400 / 10000 events processed
12:25:55    Sequencer      INFO      8500 / 10000 events processed
12:25:55    Sequencer      INFO      8600 / 10000 events processed
12:25:55    Sequencer      INFO      8700 / 10000 events processed
12:25:55    Sequencer      INFO      8800 / 10000 events processed
12:25:55    Sequencer      INFO      8900 / 10000 events processed
12:25:55    Sequencer      INFO      9000 / 10000 events processed
12:25:55    Sequencer      INFO      9100 / 10000 events processed
12:25:55    Sequencer      INFO      9200 / 10000 events processed
12:25:55    Sequencer      INFO      9300 / 10000 events processed
12:25:55    Sequencer      INFO      9400 / 10000 events processed
12:25:55    Sequencer      INFO      9500 / 10000 events processed
12:25:55    Sequencer      INFO      9600 / 10000 events processed
12:25:55    Sequencer      INFO      9700 / 10000 events processed
12:25:55    Sequencer      INFO      9800 / 10000 events processed
12:25:55    Sequencer      INFO      9900 / 10000 events processed
12:25:55    Sequencer      INFO      10000 / 10000 events processed
12:25:55    RootMaterial   INFO      Writing ROOT output File : core_mapped.root
12:25:56    RootMaterial   INFO      Writing ROOT output File : core_unmapped.root
12:25:57    Sequencer      INFO      No unmasked FPEs encountered
12:25:57    Sequencer      INFO      Processed 10000 events in 8.845526 s (wall clock)
12:25:57    Sequencer      INFO      Average time per event: 740.504000 us/event
Creating the sequencer with 1 thread (inter event information needed)
FPE masks:
- Fatras/include/ActsFatras/Kernel/detail/SimulationActor.hpp:172: FLTUND: 1
- Fatras/include/ActsFatras/Physics/ElectroMagnetic/BetheHeitler.hpp:63: FLTUND: 1
- Core/src/Vertexing/AdaptiveMultiVertexFinder.cpp:474: FLTUND: 1
- Core/include/Acts/TrackFitting/detail/GsfComponentMerging.hpp:88: FLTUND: 1
- Core/include/Acts/TrackFitting/detail/GsfComponentMerging.hpp:198: FLTUND: 1
- Core/include/Acts/Visualization/Interpolation3D.hpp:63: FLTDIV: 1
- Core/include/Acts/Visualization/Interpolation3D.hpp:64: FLTINV: 1
